pdbcode,title,bin,ReductionHalf,OxidativeHalf
4XQ6,DIHYDROOROTATE DEHYDROGENASE (QUINONE) ,0,0,0
1D3G,"DIHYDROOROTATE DEHYDROGENASE (QUINONE), MITOCHONDRIAL PRECURSOR ",0,0,0
1DOR,DIHYDROOROTATE DEHYDROGENASE A (FUMARATE),0,0,0
2BSL,DIHYDROOROTATE DEHYDROGENASE A (FUMARATE) ,0,0,0
1EP1,"DIHYDROOROTATE DEHYDROGENASE B (NAD(+)), CATALYTIC SUBUNIT ",0,0,0
4YLF,"DIHYDROOROTATE DEHYDROGENASE B (NAD(+)), ELECTRON TRANSFER SUBUNIT HOMOLOG ",0,0,0
1GT8,DIHYDROPYRIMIDINE DEHYDROGENASE [NADP(+)] PRECURSOR,0,0,0
5J7X,"DIMETHYLANILINE MONOOXYGENASE, PUTATIVE ",0,0,0
4P9S,"DIMETHYLGLYCINE DEHYDROGENASE, MITOCHONDRIAL PRECURSOR ",0,0,0
3DKW,DNR PROTEIN ,0,0,0
2CC8,DODECIN ,0,0,0
6GJC,DOPA DECARBOXYLASE ,0,0,0
3X0X,DSZC PROTEIN ,0,0,0
4KPU,ELECTRON TRANSFER FLAVOPROTEIN ALPHA SUBUNIT ,0,0,0
1EFP,ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT ALPHA,0,0,0
1EFV,"ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT ALPHA, MITOCHONDRIAL PRECURSOR ",0,0,0
1O96,ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT BETA,0,0,0
3CLR,ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT BETA ,0,0,0
5OW0,"ELECTRON TRANSFER FLAVOPROTEIN, BETA SUBUNIT ",0,0,0
2GMH,"ELECTRON TRANSFER FLAVOPROTEIN-UBIQUINONE OXIDOREDUCTASE, MITOCHONDRIAL PRECURSOR ",0,0,0
5MI3,ELONGATION FACTOR TU 1 ,0,0,0
4P6Y,ENDOGLUCANASE ,0,0,0
5XF9,ENDOMEMBRANE CA2+ ATPASE 2 ,0,0,0
5OGX,ENDOMEMBRANE CA2+ ATPASE 4 ,0,0,0
1RP4,ENDOPLASMIC OXIDOREDUCTIN-1 PRECURSOR,0,0,0
3M31,ENDOPLASMIC OXIDOREDUCTIN-1 PRECURSOR ,0,0,0
4QLX,ENONE REDUCTASE CLA-ER ,0,0,0
4IQL,ENOYL-(ACYL-CARRIER-PROTEIN) REDUCTASE II ,0,0,0
2Z6I,ENOYL-ACP REDUCTASE II ,0,0,0
5GVH,ENOYL-[ACYL-CARRIER-PROTEIN] REDUCTASE [FMN] ,0,0,0
5Z70,ENVELOPE GLYCOPROTEIN J ,0,0,0
3QJG,EPIDERMIN BIOSYNTHESIS PROTEIN EPID ,0,0,0
1G5Q,EPIDERMIN DECARBOXYLASE,0,0,0
3AHQ,ERO1-LIKE PROTEIN ALPHA PRECURSOR ,0,0,0
3ZFS,"F420-REDUCING HYDROGENASE, SUBUNIT ALPHA ",0,0,0
4OMF,"F420-REDUCING HYDROGENASE, SUBUNIT GAMMA ",0,0,0
1W9A,F420H(2)-DEPENDENT REDUCTASE RV1155,0,0,0
2WSI,FAD SYNTHASE ,0,0,0
6GEH,"FAD-BINDING 9, SIDEROPHORE-INTERACTING DOMAIN PROTEIN ",0,0,0
3NYC,FAD-DEPENDENT CATABOLIC D-ARGININE DEHYDROGENASE DAUA ,0,0,0
6J38,FAD-DEPENDENT GLYCINE OXYDASE ,0,0,0
3M9V,FAD-DEPENDENT OXIDOREDUCTASE ,0,0,0
3IWA,FAD-DEPENDENT PYRIDINE NUCLEOTIDE-DISULFIDE OXIDOREDUCTASE ,0,0,0
3NT6,FAD-DEPENDENT PYRIDINE NUCLEOTIDE-DISULPHIDE OXIDOREDUCTASE PRECURSOR ,0,0,0
3RP6,FAD-DEPENDENT URATE HYDROXYLASE ,0,0,0
3PND,FAD:PROTEIN FMN TRANSFERASE PRECURSOR ,0,0,0
5BUK,FADH2-DEPENDENT HALOGENASE ,0,0,0
5DBJ,FADH2-DEPENDENT HALOGENASE PLTA ,0,0,0
4HB9,FAD_BINDING_3 DOMAIN-CONTAINING PROTEIN ,0,0,0
4YUS,FAMILY 3 ADENYLATE CYCLASE ,0,0,0
4V8L,FATTY ACID SYNTHASE ,0,0,0
2UV8,FATTY ACID SYNTHASE SUBUNIT ALPHA ,0,0,0
3WCQ,FERREDOXIN ,0,0,0
1D7Y,FERREDOXIN REDUCTASE,0,0,0
2GQW,FERREDOXIN REDUCTASE ,0,0,0
2QDX,FERREDOXIN--NADP+ REDUCTASE ,0,0,0
3B2G,FERREDOXIN-1 ,0,0,0
3B2F,"FERREDOXIN-1, CHLOROPLASTIC PRECURSOR ",0,0,0
5H57,"FERREDOXIN-3, CHLOROPLASTIC PRECURSOR ",0,0,0
1I0R,FERRIC-CHELATE REDUCTASE (NAD(P)H),0,0,0
4ZA4,FERULIC ACID DECARBOXYLASE 1 ,0,0,0
4I2O,FIXK2 PROTEIN ,0,0,0
1R2J,FKBI,0,0,0
6QLG,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL ",0,0,0
3ZQU,FLAVIN PRENYLTRANSFERASE UBIX ,0,0,0
3PFT,FLAVIN REDUCTASE ,0,0,0
1HE4,FLAVIN REDUCTASE (NADPH),0,0,0
3HMZ,"FLAVIN REDUCTASE DOMAIN PROTEIN, FMN-BINDING ",0,0,0
2QCK,"FLAVIN REDUCTASE DOMAIN PROTEIN, FMN-BINDING PROTEIN ",0,0,0
5GSN,FLAVIN-CONTAINING MONOOXYGENASE ,0,0,0
5WGR,FLAVIN-DEPENDENT HALOGENASE ,0,0,0
5G3S,FLAVIN-DEPENDENT L-TRYPTOPHAN OXIDASE VIOA ,0,0,0
1KQ4,FLAVIN-DEPENDENT THYMIDYLATE SYNTHASE,0,0,0
3AH5,FLAVIN-DEPENDENT THYMIDYLATE SYNTHASE ,0,0,0
2APG,FLAVIN-DEPENDENT TRYPTOPHAN HALOGENASE PRNA,0,0,0
2JKC,FLAVIN-DEPENDENT TRYPTOPHAN HALOGENASE PRNA ,0,0,0
2O9Z,FLAVIN-DEPENDENT TRYPTOPHAN HALOGENASE REBH ,0,0,0
4YBN,FLAVIN-NUCLEOTIDE-BINDING PROTEIN ,0,0,0
3E4V,FLAVIN_REDUCT DOMAIN-CONTAINING PROTEIN ,0,0,0
3VRD,FLAVOCYTOCHROME C HEME SUBUNIT PRECURSOR ,0,0,0
1CQX,FLAVOHEMOPROTEIN,0,0,0
3OZU,FLAVOHEMOPROTEIN ,0,0,0
3NIX,FLAVOPROTEIN/DEHYDROGENASE ,0,0,0
2D5M,FLAVOREDOXIN ,0,0,0
3N2S,FMN REDUCTASE (NADPH) ,0,0,0
1ZCH,FMN REDUCTASE [NAD(P)H],0,0,0
1AXJ,FMN-BINDING PROTEIN,0,0,0
2E83,FMN-BINDING PROTEIN ,0,0,0
1T5B,FMN-DEPENDENT NADH-AZOREDUCTASE,0,0,0
2D5I,FMN-DEPENDENT NADH-AZOREDUCTASE ,0,0,0
2V9C,FMN-DEPENDENT NADH-AZOREDUCTASE 1 ,0,0,0
1NNI,FMN-DEPENDENT NADPH-AZOREDUCTASE,0,0,0
2GSW,FMN-DEPENDENT NADPH-AZOREDUCTASE ,0,0,0
5LSM,FMN-DEPENDENT NITRONATE MONOOXYGENASE ,0,0,0
3O6U,FMN_BIND DOMAIN-CONTAINING PROTEIN ,0,0,0
2OYS,FMN_RED DOMAIN-CONTAINING PROTEIN ,0,0,0
5CVR,FNR TYPE REGULATOR ,0,0,0
5U4N,"FRUCTOSE-1,6-BISPHOSPHATE ALDOLASE ",0,0,0
3QM3,FRUCTOSE-BISPHOSPHATE ALDOLASE ,0,0,0
5GK3,FRUCTOSE-BISPHOSPHATE ALDOLASE CLASS 2 ,0,0,0
5OC2,FRUCTOSYL AMINE:OXYGEN OXIDOREDUCTASE ,0,0,0
4RSL,FRUCTOSYL PEPTIDE OXIDASE ,0,0,0
3U34,GENERAL STRESS PROTEIN ,0,0,0
3F2V,GENERAL STRESS PROTEIN 14 ,0,0,0
3EC6,GENERAL STRESS PROTEIN 26 ,0,0,0
2CUL,GIDA-RELATED PROTEIN ,0,0,0
5N0J,GLL2934 PROTEIN ,0,0,0
2XGX,GLOBAL NITROGEN REGULATOR ,0,0,0
1ZR6,GLUCOOLIGOSACCHARIDE OXIDASE PRECURSOR,0,0,0
3HSU,GLUCOOLIGOSACCHARIDE OXIDASE PRECURSOR ,0,0,0
6A2U,GLUCOSE DEHYDROGENASE ,0,0,0
2R9Z,GLUTATHIONE AMIDE REDUCTASE ,0,0,0
5VDN,GLUTATHIONE OXIDOREDUCTASE ,0,0,0
3EYW,GLUTATHIONE-REGULATED POTASSIUM-EFFLUX SYSTEM PROTEIN KEFC ,0,0,0
3DA1,GLYCEROL-3-PHOSPHATE DEHYDROGENASE ,0,0,0
1L5R,"GLYCOGEN PHOSPHORYLASE, LIVER FORM ",0,0,0
5OL2,GLYCOPROTEIN D ,0,0,0
4WUJ,"GLYCOSIDE HYDROLASE FAMILY 15, CELLULOSE SIGNALING ASSOCIATED PROTEIN ENVOY ",0,0,0
2PAN,GLYOXYLATE CARBOLIGASE ,0,0,0
3Q9T,GMC_OXRDTASE_N DOMAIN-CONTAINING PROTEIN ,0,0,0
4JIC,GTN REDUCTASE ,0,0,0
4AQL,GUANINE DEAMINASE ,0,0,0
6BZA,HALOGENASE PLTM ,0,0,0
6J79,HEME OXYGENASE 1 ,0,0,0
2GAG,HETEROTETRAMERIC SARCOSINE OXIDASE ALPHA-SUBUNIT ,0,0,0
3K30,HISTAMINE DEHYDROGENASE ,0,0,0
3WV7,HMD CO-OCCURRING PROTEIN HCGE ,0,0,0
5W5A,HTH-TYPE TRANSCRIPTIONAL REGULATOR CMR ,0,0,0
2NZL,HYDROXYACID OXIDASE 1 ,0,0,0
1TB3,HYDROXYACID OXIDASE 2,0,0,0
3SGZ,HYDROXYACID OXIDASE 2 ,0,0,0
2FL5,IGL@ PROTEIN ,0,0,0
6BF7,INSULIN-DEGRADING ENZYME ,0,0,0
5HZI,INTERSECTIN-1 ,0,0,0
3GB5,IODOTYROSINE DEIODINASE 1 PRECURSOR ,0,0,0
5ODO,ISOMERASE ,0,0,0
1P0N,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE,0,0,0
2ZRU,ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE ,0,0,0
4IV6,ISOVALERYL-COA DEHYDROGENASE ,0,0,0
1IVH,"ISOVALERYL-COA DEHYDROGENASE, MITOCHONDRIAL PRECURSOR ",0,0,0
4TLX,KTZI ,0,0,0
4J2W,KYNURENINE 3-MONOOXYGENASE ,0,0,0
5HXW,L-AMINO ACID DEAMINASE ,0,0,0
2E1M,L-GLUTAMATE OXIDASE ,0,0,0
5O8P,L-LYSINE 6-MONOOXYGENASE INVOLVED IN DESFERRIOXAMINE BIOSYNTHESIS ,0,0,0
5CQF,"L-LYSINE 6-MONOOXYGENASE, PUTATIVE ",0,0,0
3S5W,L-ORNITHINE N(5)-MONOOXYGENASE ,0,0,0
5ZW0,L-PROLYL-[PEPTIDYL-CARRIER PROTEIN] DEHYDROGENASE ,0,0,0
3P7N,LIGHT-ACTIVATED DNA-BINDING PROTEIN EL222 ,0,0,0
6F7V,LKCE ,0,0,0
3A35,LUMAZINE PROTEIN ,0,0,0
3WE0,LYSINE 2-MONOOXYGENASE ,0,0,0
2DW4,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A ,0,0,0
4FWE,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1B ,0,0,0
1ZK7,MERCURIC REDUCTASE,0,0,0
4K7Z,MERCURIC REDUCTASE ,0,0,0
4YWO,MERCURIC REDUCTASE PRECURSOR ,0,0,0
1P3Y,MERSACIDIN DECARBOXYLASE,0,0,0
5H75,MERSACIDIN DECARBOXYLASE ,0,0,0
2VNS,METALLOREDUCTASE STEAP3 ,0,0,0
6HCY,METALLOREDUCTASE STEAP4 ,0,0,0
1TVC,METHANE MONOOXYGENASE COMPONENT C,0,0,0
2QTL,METHIONINE SYNTHASE REDUCTASE ,0,0,0
5CUZ,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA TYPE D PROTEIN, MITOCHONDRIAL PRECURSOR ",0,0,0
6GRI,MICROCIN B17-PROCESSING PROTEIN MCBB ,0,0,0
2V1S,MITOCHONDRIAL IMPORT RECEPTOR SUBUNIT TOM20 HOMOLOG ,0,0,0
2HQ9,MLL6688 PROTEIN ,0,0,0
4Z38,MLNA ,0,0,0
6GQI,MOBC ,0,0,0
2B3D,MODULATOR OF DRUG ACTIVITY B,0,0,0
5JCI,"MONODEHYDROASCORBATE REDUCTASE 3, CYTOSOLIC ",0,0,0
4USR,MONOOXYGENASE ,0,0,0
1GWJ,MORPHINONE REDUCTASE,0,0,0
2R14,MORPHINONE REDUCTASE ,0,0,0
6RHF,MULTI-SENSOR HYBRID HISTIDINE KINASE ,0,0,0
2YVM,MUTT/NUDIX FAMILY PROTEIN ,0,0,0
4IA5,MYOSIN-CROSSREACTIVE ANTIGEN ,0,0,0
4LZJ,N-ACETYLMURAMIC ACID 6-PHOSPHATE ETHERASE ,0,0,0
3GKA,N-ETHYLMALEIMIDE REDUCTASE ,0,0,0
2UZZ,N-METHYL-L-TRYPTOPHAN OXIDASE ,0,0,0
4P6V,NA(+)-TRANSLOCATING NADH-QUINONE REDUCTASE SUBUNIT A ,0,0,0
4U9S,NA(+)-TRANSLOCATING NADH-QUINONE REDUCTASE SUBUNIT C ,0,0,0
2R6H,NA(+)-TRANSLOCATING NADH-QUINONE REDUCTASE SUBUNIT F ,0,0,0
2I0Z,NAD(FAD)-UTILIZING DEHYDROGENASES ,0,0,0
1XDI,NAD(P)H DEHYDROGENASE (QUINONE),0,0,0
2R96,NAD(P)H DEHYDROGENASE (QUINONE) ,0,0,0
1D4A,NAD(P)H DEHYDROGENASE [QUINONE] 1,0,0,0
2F1O,NAD(P)H DEHYDROGENASE [QUINONE] 1 ,0,0,0
2H0U,NAD(P)H NITROREDUCTASE ,0,0,0
